customer_id,customer_segment,year_to_year,product-segment-1_previous,product-segment-1_following,product-segment-1_diff,product-segment-3_previous,product-segment-3_following,product-segment-3_diff,product-segment-2_previous,product-segment-2_following,product-segment-2_diff,total_value_previous,total_value_following,total_diff
CUST-0008,large,2021_2022,0.0,0.0,0.0,0.0,742.8,742.8,698.58,939.03,240.44999999999993,698.58,1681.83,983.2499999999999
CUST-0011,large,2021_2022,0.0,0.0,0.0,722.45,0.0,-722.45,0.0,993.18,993.18,722.45,993.18,270.7299999999999
CUST-0019,large,2021_2022,937.71,1386.3,448.5899999999999,0.0,0.0,0.0,0.0,0.0,0.0,937.71,1386.3,448.5899999999999
CUST-0028,large,2021_2022,528.81,0.0,-528.81,0.0,883.06,883.06,0.0,0.0,0.0,528.81,883.06,354.25
CUST-0036,large,2021_2022,0.0,0.0,0.0,0.0,839.75,839.75,743.21,0.0,-743.21,743.21,839.75,96.53999999999996
CUST-0078,large,2021_2022,0.0,0.0,0.0,0.0,0.0,0.0,698.85,768.13,69.27999999999997,698.85,768.13,69.27999999999997
CUST-0097,large,2021_2022,0.0,0.0,0.0,784.69,0.0,-784.69,0.0,507.45,507.45,784.69,507.45,-277.24000000000007
CUST-0103,large,2021_2022,586.78,896.14,309.36,0.0,0.0,0.0,0.0,0.0,0.0,586.78,896.14,309.36
CUST-0105,large,2021_2022,732.17,984.23,252.06000000000006,0.0,0.0,0.0,0.0,0.0,0.0,732.17,984.23,252.06000000000006
CUST-0108,large,2021_2022,962.7,0.0,-962.7,0.0,521.16,521.16,0.0,0.0,0.0,962.7,521.16,-441.5400000000001
CUST-0110,large,2021_2022,977.35,0.0,-977.35,0.0,833.2,833.2,0.0,0.0,0.0,977.35,833.2,-144.14999999999998
CUST-0137,large,2021_2022,0.0,0.0,0.0,872.79,0.0,-872.79,0.0,850.56,850.56,872.79,850.56,-22.230000000000018
CUST-0138,large,2021_2022,590.2,0.0,-590.2,0.0,0.0,0.0,0.0,800.15,800.15,590.2,800.15,209.94999999999993
CUST-0141,large,2021_2022,653.16,0.0,-653.16,0.0,0.0,0.0,969.96,776.85,-193.11,1623.12,776.85,-846.2699999999999
CUST-0172,large,2021_2022,0.0,0.0,0.0,817.11,0.0,-817.11,0.0,717.5,717.5,817.11,717.5,-99.61000000000001
CUST-0178,large,2021_2022,0.0,934.47,934.47,0.0,563.46,563.46,1626.54,0.0,-1626.54,1626.54,1497.93,-128.6099999999999
CUST-0204,large,2021_2022,0.0,0.0,0.0,793.71,797.71,4.0,742.86,0.0,-742.86,1536.5700000000002,797.71,-738.8600000000001
CUST-0211,large,2021_2022,0.0,0.0,0.0,0.0,582.29,582.29,759.71,0.0,-759.71,759.71,582.29,-177.42000000000007
CUST-0218,large,2021_2022,0.0,0.0,0.0,725.02,560.76,-164.26,982.22,0.0,-982.22,1707.24,560.76,-1146.48
CUST-0227,large,2021_2022,0.0,638.85,638.85,0.0,0.0,0.0,625.78,0.0,-625.78,625.78,638.85,13.07000000000005
CUST-0230,large,2021_2022,0.0,659.34,659.34,548.55,0.0,-548.55,0.0,0.0,0.0,548.55,659.34,110.79000000000008
CUST-0234,large,2021_2022,0.0,0.0,0.0,898.0,0.0,-898.0,0.0,766.15,766.15,898.0,766.15,-131.85000000000002
CUST-0255,large,2021_2022,0.0,0.0,0.0,954.05,0.0,-954.05,0.0,658.23,658.23,954.05,658.23,-295.81999999999994
CUST-0257,large,2021_2022,902.55,0.0,-902.55,0.0,595.27,595.27,0.0,0.0,0.0,902.55,595.27,-307.28
CUST-0286,large,2021_2022,848.29,528.82,-319.4699999999999,0.0,0.0,0.0,0.0,0.0,0.0,848.29,528.82,-319.4699999999999
CUST-0315,large,2021_2022,845.92,0.0,-845.92,0.0,0.0,0.0,0.0,675.49,675.49,845.92,675.49,-170.42999999999995
CUST-0318,large,2021_2022,741.45,0.0,-741.45,0.0,0.0,0.0,897.24,927.65,30.409999999999968,1638.69,927.65,-711.0400000000001
CUST-0326,large,2021_2022,0.0,664.2,664.2,0.0,0.0,0.0,607.57,0.0,-607.57,607.57,664.2,56.629999999999995
CUST-0367,large,2021_2022,0.0,0.0,0.0,0.0,536.59,536.59,786.67,0.0,-786.67,786.67,536.59,-250.07999999999993
CUST-0374,large,2021_2022,738.01,0.0,-738.01,0.0,847.93,847.93,0.0,0.0,0.0,738.01,847.93,109.91999999999996
CUST-0375,large,2021_2022,1353.6399999999999,0.0,-1353.6399999999999,679.23,0.0,-679.23,0.0,526.04,526.04,2032.87,526.04,-1506.83
CUST-0391,large,2021_2022,527.13,604.84,77.71000000000004,738.28,0.0,-738.28,0.0,0.0,0.0,1265.4099999999999,604.84,-660.5699999999998
CUST-0414,large,2021_2022,507.65,519.05,11.399999999999977,0.0,0.0,0.0,0.0,0.0,0.0,507.65,519.05,11.399999999999977
CUST-0432,large,2021_2022,547.84,0.0,-547.84,0.0,780.63,780.63,0.0,0.0,0.0,547.84,780.63,232.78999999999996
CUST-0463,large,2021_2022,0.0,0.0,0.0,708.4,0.0,-708.4,0.0,510.46,510.46,708.4,510.46,-197.94
CUST-0465,large,2021_2022,936.03,571.06,-364.97,0.0,0.0,0.0,0.0,0.0,0.0,936.03,571.06,-364.97
CUST-0470,large,2021_2022,626.16,0.0,-626.16,0.0,0.0,0.0,0.0,644.63,644.63,626.16,644.63,18.470000000000027
CUST-0481,large,2021_2022,0.0,588.95,588.95,901.14,0.0,-901.14,0.0,0.0,0.0,901.14,588.95,-312.18999999999994
CUST-0484,large,2021_2022,544.67,0.0,-544.67,0.0,0.0,0.0,529.78,899.5,369.72,1074.4499999999998,899.5,-174.94999999999982
CUST-0503,large,2021_2022,0.0,0.0,0.0,917.54,0.0,-917.54,0.0,902.36,902.36,917.54,902.36,-15.17999999999995
CUST-0511,large,2021_2022,0.0,0.0,0.0,804.56,0.0,-804.56,0.0,557.71,557.71,804.56,557.71,-246.8499999999999
CUST-0512,large,2021_2022,501.08,0.0,-501.08,0.0,0.0,0.0,0.0,654.81,654.81,501.08,654.81,153.72999999999996
CUST-0513,large,2021_2022,0.0,679.63,679.63,960.26,0.0,-960.26,0.0,0.0,0.0,960.26,679.63,-280.63
CUST-0544,large,2021_2022,0.0,716.07,716.07,883.48,0.0,-883.48,0.0,883.7,883.7,883.48,1599.77,716.29
CUST-0547,large,2021_2022,0.0,940.6,940.6,572.42,0.0,-572.42,0.0,0.0,0.0,572.42,940.6,368.18000000000006
CUST-0556,large,2021_2022,962.14,0.0,-962.14,0.0,0.0,0.0,0.0,626.21,626.21,962.14,626.21,-335.92999999999995
CUST-0584,large,2021_2022,0.0,869.44,869.44,985.91,0.0,-985.91,0.0,0.0,0.0,985.91,869.44,-116.46999999999991
CUST-0588,large,2021_2022,547.82,0.0,-547.82,0.0,521.09,521.09,586.53,0.0,-586.53,1134.35,521.09,-613.2599999999999
CUST-0615,large,2021_2022,0.0,552.62,552.62,0.0,0.0,0.0,914.45,0.0,-914.45,914.45,552.62,-361.83000000000004
CUST-0616,large,2021_2022,527.22,0.0,-527.22,0.0,0.0,0.0,0.0,860.24,860.24,527.22,860.24,333.02
CUST-0620,large,2021_2022,0.0,855.42,855.42,0.0,0.0,0.0,667.68,0.0,-667.68,667.68,855.42,187.74
CUST-0635,large,2021_2022,572.47,594.69,22.220000000000027,0.0,0.0,0.0,0.0,0.0,0.0,572.47,594.69,22.220000000000027
CUST-0645,large,2021_2022,0.0,0.0,0.0,608.94,0.0,-608.94,0.0,907.28,907.28,608.94,907.28,298.3399999999999
CUST-0650,large,2021_2022,0.0,0.0,0.0,0.0,0.0,0.0,587.65,914.65,327.0,587.65,914.65,327.0
CUST-0660,large,2021_2022,685.76,0.0,-685.76,0.0,0.0,0.0,0.0,592.49,592.49,685.76,592.49,-93.26999999999998
CUST-0674,large,2021_2022,0.0,872.89,872.89,988.29,0.0,-988.29,0.0,0.0,0.0,988.29,872.89,-115.39999999999998
CUST-0680,large,2021_2022,0.0,837.81,837.81,0.0,0.0,0.0,580.78,0.0,-580.78,580.78,837.81,257.03
CUST-0727,large,2021_2022,0.0,0.0,0.0,0.0,0.0,0.0,774.49,786.19,11.700000000000045,774.49,786.19,11.700000000000045
CUST-0732,large,2021_2022,0.0,589.22,589.22,760.96,0.0,-760.96,0.0,0.0,0.0,760.96,589.22,-171.74
CUST-0733,large,2021_2022,0.0,942.15,942.15,0.0,0.0,0.0,996.89,0.0,-996.89,996.89,942.15,-54.74000000000001
CUST-0735,large,2021_2022,0.0,941.39,941.39,0.0,0.0,0.0,973.51,0.0,-973.51,973.51,941.39,-32.120000000000005
CUST-0737,large,2021_2022,0.0,0.0,0.0,805.38,0.0,-805.38,0.0,581.83,581.83,805.38,581.83,-223.54999999999995
CUST-0740,large,2021_2022,0.0,0.0,0.0,784.19,0.0,-784.19,0.0,566.32,566.32,784.19,566.32,-217.87
CUST-0759,large,2021_2022,647.77,0.0,-647.77,0.0,620.24,620.24,0.0,0.0,0.0,647.77,620.24,-27.529999999999973
CUST-0763,large,2021_2022,0.0,0.0,0.0,845.88,563.15,-282.73,0.0,0.0,0.0,845.88,563.15,-282.73
CUST-0785,large,2021_2022,0.0,0.0,0.0,653.12,0.0,-653.12,0.0,900.8,900.8,653.12,900.8,247.67999999999995
CUST-0800,large,2021_2022,0.0,0.0,0.0,0.0,0.0,0.0,713.89,744.64,30.75,713.89,744.64,30.75
CUST-0805,large,2021_2022,853.09,0.0,-853.09,0.0,840.02,840.02,0.0,620.36,620.36,853.09,1460.38,607.2900000000001
CUST-0819,large,2021_2022,892.73,919.48,26.75,0.0,999.17,999.17,0.0,0.0,0.0,892.73,1918.65,1025.92
CUST-0829,large,2021_2022,656.65,0.0,-656.65,0.0,0.0,0.0,0.0,585.36,585.36,656.65,585.36,-71.28999999999996
CUST-0831,large,2021_2022,0.0,0.0,0.0,764.46,1419.93,655.47,0.0,0.0,0.0,764.46,1419.93,655.47
CUST-0835,large,2021_2022,612.47,508.79,-103.68,0.0,0.0,0.0,0.0,670.77,670.77,612.47,1179.56,567.0899999999999
CUST-0839,large,2021_2022,0.0,0.0,0.0,704.42,572.26,-132.15999999999997,0.0,0.0,0.0,704.42,572.26,-132.15999999999997
CUST-0843,large,2021_2022,0.0,0.0,0.0,680.72,0.0,-680.72,0.0,982.54,982.54,680.72,982.54,301.81999999999994
CUST-0851,large,2021_2022,635.4,0.0,-635.4,0.0,557.39,557.39,0.0,0.0,0.0,635.4,557.39,-78.00999999999999
CUST-0870,large,2021_2022,534.36,0.0,-534.36,0.0,0.0,0.0,0.0,763.63,763.63,534.36,763.63,229.26999999999998
CUST-0875,large,2021_2022,0.0,0.0,0.0,0.0,740.92,740.92,645.93,749.29,103.36000000000001,645.93,1490.21,844.2800000000001
CUST-0905,large,2021_2022,0.0,0.0,0.0,763.67,702.53,-61.139999999999986,875.77,944.89,69.12,1639.44,1647.42,7.980000000000018
CUST-0923,large,2021_2022,697.85,766.69,68.84000000000003,0.0,0.0,0.0,0.0,0.0,0.0,697.85,766.69,68.84000000000003
CUST-0925,large,2021_2022,0.0,0.0,0.0,0.0,860.67,860.67,595.75,0.0,-595.75,595.75,860.67,264.91999999999996
CUST-0930,large,2021_2022,627.05,0.0,-627.05,641.59,0.0,-641.59,0.0,714.32,714.32,1268.6399999999999,714.32,-554.3199999999998
CUST-0958,large,2021_2022,0.0,0.0,0.0,635.75,0.0,-635.75,0.0,553.86,553.86,635.75,553.86,-81.88999999999999
CUST-0959,large,2021_2022,577.44,0.0,-577.44,0.0,0.0,0.0,0.0,955.35,955.35,577.44,955.35,377.90999999999997
CUST-0968,large,2021_2022,1337.37,570.64,-766.7299999999999,0.0,0.0,0.0,0.0,610.38,610.38,1337.37,1181.02,-156.3499999999999
CUST-0973,large,2021_2022,0.0,668.15,668.15,732.46,787.51,55.049999999999955,890.52,0.0,-890.52,1622.98,1455.6599999999999,-167.32000000000016
CUST-0982,large,2021_2022,0.0,0.0,0.0,0.0,972.56,972.56,643.13,0.0,-643.13,643.13,972.56,329.42999999999995
