order_date;customer_id;user_segment;product_id;product_segment;order_year;order_value_eur
2021-12-16;CUST-9198;large;PROD-263;product-segment-1;2021;833.48
2021-12-14;CUST-5321;large;PROD-769;product-segment-1;2021;889.39
2021-07-11;CUST-4352;large;PROD-346;product-segment-3;2021;689.92
2021-04-05;CUST-1908;large;PROD-345;product-segment-1;2021;529.83
2021-03-16;CUST-3863;medium;PROD-318;product-segment-2;2021;288.24
2021-10-13;CUST-6605;small;PROD-492;product-segment-2;2021;110.09
2021-06-09;CUST-7948;large;PROD-551;product-segment-2;2021;698.29
2021-01-08;CUST-3052;large;PROD-250;product-segment-1;2021;601.82
2021-10-21;CUST-9400;medium;PROD-989;product-segment-1;2021;365.6
2021-11-20;CUST-1762;large;PROD-916;product-segment-2;2021;768.99
2021-07-16;CUST-7711;large;PROD-267;product-segment-2;2021;625.54
2021-09-28;CUST-5673;large;PROD-958;product-segment-2;2021;868.16
2021-03-12;CUST-7359;large;PROD-717;product-segment-3;2021;520.08
2021-09-24;CUST-6929;large;PROD-481;product-segment-3;2021;946.72
2021-03-16;CUST-1915;large;PROD-219;product-segment-1;2021;537.75
2021-08-05;CUST-0837;large;PROD-695;product-segment-3;2021;977.07
2021-05-03;CUST-4435;small;PROD-407;product-segment-2;2021;53.95
2021-08-01;CUST-8985;large;PROD-961;product-segment-3;2021;682.73
2021-04-21;CUST-3184;large;PROD-456;product-segment-3;2021;578.34
2021-04-20;CUST-4417;medium;PROD-687;product-segment-2;2021;342.74
2021-02-04;CUST-7755;medium;PROD-455;product-segment-1;2021;217.19
2021-02-09;CUST-0255;large;PROD-934;product-segment-3;2021;954.05
2021-03-14;CUST-1349;small;PROD-979;product-segment-2;2021;191.47
2021-12-11;CUST-4317;small;PROD-612;product-segment-1;2021;126.14
2021-08-21;CUST-0820;large;PROD-848;product-segment-1;2021;503.82
2021-12-25;CUST-7119;medium;PROD-535;product-segment-3;2021;448.22
2021-06-01;CUST-7557;small;PROD-793;product-segment-1;2021;87.41
2021-02-20;CUST-9839;large;PROD-813;product-segment-2;2021;882.65
2021-06-13;CUST-1050;large;PROD-658;product-segment-2;2021;828.79
2021-08-23;CUST-5162;medium;PROD-918;product-segment-3;2021;377.33
2021-11-20;CUST-3895;large;PROD-630;product-segment-1;2021;551.47
2021-11-14;CUST-1318;small;PROD-879;product-segment-3;2021;48.34
2021-05-17;CUST-5524;small;PROD-180;product-segment-1;2021;113.81
2021-01-02;CUST-6606;medium;PROD-595;product-segment-1;2021;422.19
2021-02-13;CUST-6326;medium;PROD-415;product-segment-1;2021;349.39
2021-10-10;CUST-2775;medium;PROD-432;product-segment-1;2021;365.76
2021-11-19;CUST-1636;large;PROD-998;product-segment-1;2021;751.78
2021-09-04;CUST-2095;medium;PROD-330;product-segment-2;2021;494.62
2021-02-08;CUST-7888;medium;PROD-494;product-segment-1;2021;270.74
2021-05-01;CUST-9406;small;PROD-347;product-segment-3;2021;84.22
2021-06-08;CUST-0668;large;PROD-951;product-segment-2;2021;921.09
2021-03-01;CUST-4335;large;PROD-129;product-segment-1;2021;901.09
2021-08-04;CUST-4580;medium;PROD-273;product-segment-2;2021;246.54
2021-11-11;CUST-9905;small;PROD-314;product-segment-3;2021;194.3
2021-02-10;CUST-8341;large;PROD-580;product-segment-1;2021;505.07
2021-06-28;CUST-2211;small;PROD-550;product-segment-3;2021;110.75
2021-01-14;CUST-6293;large;PROD-995;product-segment-2;2021;592.28
2021-06-18;CUST-0082;large;PROD-425;product-segment-1;2021;593.54
2021-02-10;CUST-7734;medium;PROD-691;product-segment-1;2021;249.3
2021-10-22;CUST-5631;large;PROD-500;product-segment-2;2021;725.43
2021-02-15;CUST-3938;medium;PROD-193;product-segment-2;2021;232.29
2021-10-16;CUST-1954;small;PROD-660;product-segment-2;2021;138.78
2021-02-01;CUST-7467;medium;PROD-887;product-segment-3;2021;299.69
2021-08-06;CUST-4291;small;PROD-191;product-segment-1;2021;12.43
2021-07-09;CUST-5245;large;PROD-210;product-segment-3;2021;979.74
2021-09-19;CUST-5027;large;PROD-809;product-segment-2;2021;653.63
2021-06-13;CUST-2858;small;PROD-934;product-segment-1;2021;95.63
2021-02-10;CUST-7824;medium;PROD-829;product-segment-2;2021;343.26
2021-10-07;CUST-8583;medium;PROD-325;product-segment-1;2021;203.36
2021-08-11;CUST-8460;large;PROD-897;product-segment-2;2021;664.54
2021-09-27;CUST-1608;large;PROD-515;product-segment-2;2021;840.76
2021-12-19;CUST-8471;medium;PROD-849;product-segment-1;2021;363.72
2021-04-02;CUST-6966;medium;PROD-141;product-segment-1;2021;412.2
2021-10-19;CUST-5988;medium;PROD-723;product-segment-3;2021;222.32
2021-10-18;CUST-1784;large;PROD-272;product-segment-3;2021;511.96
2021-04-22;CUST-7763;medium;PROD-805;product-segment-1;2021;235.92
2021-06-11;CUST-8857;small;PROD-629;product-segment-1;2021;193.57
2021-03-25;CUST-8028;small;PROD-219;product-segment-1;2021;7.79
2021-04-27;CUST-5794;small;PROD-282;product-segment-3;2021;57.08
2021-08-01;CUST-5780;medium;PROD-503;product-segment-3;2021;312.49
2021-09-23;CUST-1335;medium;PROD-107;product-segment-2;2021;220.23
2021-08-04;CUST-8689;medium;PROD-758;product-segment-1;2021;209.48
2021-10-19;CUST-3023;large;PROD-868;product-segment-1;2021;685.58
2021-06-02;CUST-0235;medium;PROD-655;product-segment-3;2021;316.7
2021-05-24;CUST-9436;large;PROD-721;product-segment-1;2021;815.11
2021-08-17;CUST-1503;small;PROD-800;product-segment-3;2021;174.22
2021-01-19;CUST-0552;small;PROD-974;product-segment-1;2021;186.43
2021-02-02;CUST-8271;large;PROD-436;product-segment-3;2021;575.5
2021-03-17;CUST-2795;medium;PROD-428;product-segment-1;2021;341.58
2021-10-12;CUST-9582;medium;PROD-362;product-segment-3;2021;285.77
2021-07-19;CUST-2409;large;PROD-728;product-segment-2;2021;560.86
